,time,FB,AMZN,NFLX,GOOGL,TWTR,SNAP
0,2018-07-02,0.02063401768630091,0.01847031556427159,0.03302633285769874,0.023992468731788286,0.04458894565722238,0.00766283524904221
1,2018-07-03,-0.009354921613981104,-0.017401795865333303,-0.022453628376179702,-0.02883193262689021,-0.03240740740740733,0.0
2,2018-07-05,0.019051042415528352,-0.003313044600030568,0.011654892086166546,0.014840832295927475,0.0224642614023145,0.006092916984006047
3,2018-07-06,0.02408667170571932,0.008626179245283083,0.027173229337023486,0.011657339043765313,0.03874415497661987,0.02733485193621865
4,2018-07-09,-0.000927145854682121,0.008683042835184507,0.007260488039427804,0.006275862068965576,-0.05562687205819428,-0.0007320644216690653
5,2018-07-10,-0.004694376528117439,0.0026114015863976103,-0.003858690441951862,-0.0024359182557115444,-0.010180995475113197,-0.030589949016751605
6,2018-07-11,0.0015824349718127628,0.009787167935373597,0.017771186852725274,0.013706927882868092,0.029087497067792567,0.022900763358778775
7,2018-07-12,0.017155778400432586,0.018197686609880304,-0.003987182627802177,0.022470762473826733,0.010267857142857162,0.016381236038719438
8,2018-07-13,-0.002357923102834336,0.005044541639642297,-0.032723184828563734,0.0013468573328900835,-0.01744699646643111,-0.01764705882352946
9,2018-07-16,-0.0013012048192772019,0.00029638574055268485,0.0037595869467141885,-0.006064079879715245,-0.0009029345372459918,-0.013584905660377289
10,2018-07-17,0.024841386041971614,0.01786857735874059,0.09375990776769005,0.025652298899166315,0.025693966506079358,0.0362934362934364
11,2018-07-18,-0.002192355352206521,-0.002748917748917723,-0.016026649879341104,0.0036242377102762013,-0.01923512106811487,-0.003731343283582156
12,2018-07-19,-0.003257172965464461,-0.00901358870923663,-0.018406726674931262,-0.00625699249989653,0.003928819043216958,0.009774436090225436
13,2018-07-20,0.005219056739286687,-0.00619722631656805,-0.010605064123643593,-0.0011340515659916672,-0.0018390804597701038,-0.013382899628252787
14,2018-07-23,0.0015671003894006663,-0.005634004889058186,0.009786289838680906,0.012829734205376031,-0.003222094361334915,0.014393939393939403
15,2018-07-24,-0.0020454651108736677,0.0001257510893870606,-0.02621682018858673,-0.010110149488591569,-0.03655471784327169,-0.023048327137546343
16,2018-07-25,0.008274807037062848,0.018755808232657323,0.014822272562015959,0.018616978812409313,0.04415584415584406,0.005255255255255387
17,2018-07-26,0.007833495339927943,-0.016856987493202857,0.013679890560875485,0.014457298884136272,0.0016328434802892478,0.02295332823259355
18,2018-07-27,-0.027686662589648137,-0.03133178753231525,-0.03172958975057938,-0.028104443341193885,-0.084026845637584,-0.023592085235920934
19,2018-07-30,-0.02418710781517408,-0.026328030514466416,-0.04821981644076956,-0.012055740733303844,-0.08165057067603165,-0.03689167974882268
20,2018-07-31,0.01119118767211602,-0.005065799416733352,0.017918011523031074,-0.003645338594311931,-0.00250391236306724,0.019575856443719397
21,2018-08-01,-0.013108721899614761,0.007382286995515797,0.0074731294846219765,-0.004939028819071711,-0.010542635658914778,-0.013545816733067761
22,2018-08-02,0.03333723927818144,0.025470015709118554,0.02155798713044499,0.018572014772261003,0.039265357821405944,0.03168155970755482
23,2018-08-03,0.0005065000844166612,-0.007862918584783496,-0.013400431344356645,-0.005637739122054675,-0.019030079803560418,0.0015735641227379027
24,2018-08-06,0.03754819243448626,0.012016584420065701,0.023492316078646658,-0.003173299184123679,0.03645505971087348,0.02513747054202664
